Hotel name,Price,Rating
Village Tres Cruces,300,8.2
Leonardo Boutique Hotel Madrid,428,8.4
Aspasios San Mateo Boutique Apartments,576,9
Apartamento Madrid Centro,,9.5
Apartamentos En Sol,320,8.8
Aparthotel Ramon de la Cruz 41,590,9.2
room007 Select Sol,343,8.8
Hotel Atlántico,770,9.3
täCH Madrid Airport,540,8.6
Gran Versalles,390,8.5
Tafari Sol,,9.6
JC Rooms Santo Domingo,337,8.1
Hostal Santo Domingo,260,8.5
Art & Dreams Imperial I,797,
Exe Madrid Norte,353,8.2
Eurostars Zarzuela Park,382,8.3
Ibis Madrid Centro,360,8.9
NH Paseo de la Habana,493,7.9
Madrid Downtown Chamberi,,8.5
Hotel Dome Madrid,435,8.1
Hostal Main Street Madrid,356,9.2
Los Amigos Hostel,200,8.4
THC Tirso Molina Hostel,300,8.4
Hostal Madrid Star,356,8.6
Hostal Loyola,168,8.2
En Palacio Casa Entera con Dos Suites,,9.1
Soho Boutique Congreso,450,9.1
Tourismrent La Latina,574,9.1
Hotel Puerta de Toledo,488,8.8
Hotel Vía Castellana,421,8.3
Hostal Gala Madrid,285,8.3
Aparto-Hotel Rosales,298,8.6
"Five Windows to La Latina, Madrid Centre",,9.3
Malasaña II,503,7.7
BNBHolder ATOCHA. SOL. LA LATINA,398,8.5
Far Home Gran Vía,357,8.7
Gallagher's Apartments,180,7
H10 Tribeca,549,8.9
VP El Madroño,410,8.9
"Apartamento Latina , junto al rastro",,
NH Collection Madrid Abascal,717,8.9
Hostal Gran Via 44,377,7.9
Hostal Trevinca,380,7.2
Holiday Inn Madrid - Pirámides,371,8.3
Oriente Palace Apartments,504,9.4
Hotel Acta Madfor,324,8.2
THC Latina Hostel,272,8.9
"City center, walking distance to all landmarks!!!",,8.9
Behap Madrid De Las Letras,352,8.5
ATOCHA - RETIRO,569,8.5
H Metropolitan Atocha,200,6.8
Jc Rooms Puerta Del Sol,276,7.9
Apartamentos El Tiempo,468,8.2
El Jardín del Ángel Yolka,750,8.7
Pullman Madrid Airport & Feria,,8.6
Stylish Studio in Lavapies,316,8.9
Leonardo Hotel Madrid City Center,428,8.6
Apartamento en Corrala,360,8.6
Eco Via Lusitana,235,8
Senator Gran Vía 70 Spa Hotel,477,8.4
Hyatt Regency Hesperia Madrid,968,9
GRAN VÍA Premium House II (2BR 2BT),,8.7
Tryp Madrid Chamberí,438,8
Hostal 4C Cuatro Caminos,396,8.4
The Principal Madrid,1122,9
Don Pio,600,8.7
Jc Rooms Jardines,304,8.9
Espahotel Plaza Basílica,458,8.4
Maravilloso apartamento en Calle Mayor,,7.8
Friendly Rentals Latina VI,554,9.4
Dormirdcine,335,8.6
NH Madrid Principe de Vergara,536,8.6
Globales Acis y Galatea,335,8.2
VP Jardín Metropolitano,365,8.9
Apartamentos Goya 75,260,6.6
Suites Viena Plaza de España,506,9
7rooms7 Gran Via Madrid Apartments,,8.7
"Hotel Madrid Plaza España, managed by Meliá",532,8.1
Hola Rooms,306,9.1
El Rincón de la Ópera,522,9.6
Hostel One Madrid,416,9.3
Hotel Mayorazgo,563,8.7
Apartamentos Cava Baja,568,9.4
"Sandoval, 13",,8.7
Elba Madrid Alcalá,397,8.5
Palacete en Madrid,320,7.2
Espahotel Gran Vía,365,8.5
AC Hotel Carlton Madrid,572,8.7
Home Club Palacio Real I,488,8.2
Modern studio in La Latina,316,9.2
Precioso apartamento San cosme,,9
Olala Color Apartments,419,9.2
Way Hostel Madrid,4000,8.7
Ayre Gran Hotel Colón,394,8.6
Apartamento Barrio de las Letras,304,8.6
Friendly Rentals Salamanca Confort I,476,8.3
Room Mate Alicia,473,9
PYR Select Museo del Prado IV,,7.9
Silken Puerta Madrid,453,8.5
Dear Hotel Madrid,575,9
Exe Plaza,428,8.5
Francisco I,373,9.2
Mola Hostel,484,8.8
Regente Hotel,440,8.4
Mola Suites,427,8.8
Apartamento Barco,,6.2
Pension Enebral,144,6.7
Roisa Centro,360,8.1
Hotel Mercader,300,8.2
NH Madrid Chamberí,556,8.6
Hostal Los Perales,168,6.2
Suites Barrio de Salamanca,605,8.4
Life in white,,6.2
"TÓTEM Madrid, a Small Luxury Hotel of the World",765,8.9
PYR Select Las Letras,351,8.1
Puerta del Sol Pink Aduana,636,9.4
"Apartamento Sol, Madrid",547,8.7
Hostal Numancia,236,6.2
Melia Avenida de America,644,8.3
PYR Select Las Letras II,,7.5
Tryp Madrid Atocha Hotel,547,8.2
Apartamentos Los Jerónimos,680,9.1
Hotel Europa,492,8.8
Suite Apartmento juanelo centro,888,7.4
NH Madrid Las Tablas,460,8.2
Tryp Madrid Alameda Aeropuerto Hotel,396,8.4
Apartamento recién reformado en Lavapiés,,
Hotel Sardinero Madrid,528,9
Ateneo Puerta del Sol,441,8.2
Apartamento Madrid Centro Plaza de España,380,6.4
Hotel Meninas - Boutique Opera,422,8.4
Hostal Daniel,300,5.6
Hotel Villa Real,955,8.8
NH Madrid Sur,431,8.7
MADRID COSY RENTALS ATOCHA/REINA SOFIA,,9
LOFT LA LATINA (100 M2) - 3 ROOMS AND 2 BATHROOMS,912,8.8
Hostal Suárez,200,8.1
Chalet Alameda de Osuna,287,7.6
Studios Panoramic View La Latina,356,9
Artistic Loft,480,8.7
Stylish City Apartamentos,212,7
Good Rooms Apartaments,,8.6
